Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_UNO_R3","Arduino_UNO_R3_NoMountingHoles3D_Text_Top_&_Bottom",88.225000,-141.330000,0.000000,bottom
"BZ1","Buzzer_D12mm_H9.6mm_LS7.6mm","Buzzer_12.2mm_9.7mm_7.62mm",75.000000,-137.000000,0.000000,top
"C1","0.1uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",149.273000,-136.919714,-90.000000,top
"D1","Schottky 2A","D_SMB",144.400000,-121.530000,-90.000000,top
"F1","Polyfuse 6A","Fuse_BSMD_1812",66.840707,-90.964293,90.000000,top
"J1","Barrel_Jack_Switch_SMT","BarrelJack_CLIFF_FC681465S_SMT_Horizontal",54.650000,-102.800000,0.000000,top
"J2","HS96L03W2C03_0.96_Oled","OLED_HS96L03W2C03_0.96_WithNuts",91.000000,-115.000000,0.000000,top
"J5","Conn_02x05_Odd_Even","IDC-Header_2x05_P2.54mm_Vertical",125.460000,-118.600000,0.000000,top
"J6","Screw_Terminal_01x06","1x6P 20A -40℃~+105℃ 300V Green 12~30 Straight pin 5.08mm 2.5 1 6 Plugin,P=5.08mm Screw terminal ROHS",127.000000,-110.450000,90.000000,top
"J9","Screw_Terminal_01x06","1x6P 20A -40℃~+105℃ 300V Green 12~30 Straight pin 5.08mm 2.5 1 6 Plugin,P=5.08mm Screw terminal ROHS",151.250000,-98.250000,180.000000,top
"J10","Conn_02x05_Odd_Even","IDC-Header_2x05_P2.54mm_Vertical",151.250000,-107.125000,-90.000000,top
"J11","Screw_Terminal_01x02","TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal",152.500000,-123.099714,90.000000,top
"Q1","IRF540N","TO-220-3_Horizontal_TabDown",110.550000,-138.329714,0.000000,top
"Q2","BSS138","SOT-23",87.297500,-133.350000,180.000000,top
"R1","1R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",124.050000,-136.079714,0.000000,top
"R2","DNI","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",103.300000,-90.079714,180.000000,top
"R3","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",112.672500,-101.600000,180.000000,top
"R4","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",69.400000,-129.600000,180.000000,top
"R5","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",69.200000,-113.400000,180.000000,top
"R6","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",70.787000,-90.945714,180.000000,top
"R7","1R","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",142.400000,-136.929714,90.000000,top
"R9","1K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",108.962500,-90.079714,180.000000,top
"R10","10K","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",74.954500,-92.850714,0.000000,top
"SW1","6mm 2 Pin Tact NO Breadboard Friendly","Switch_Tactile_THT_6x6mm",67.000000,-110.000000,90.000000,top
"SW2","6mm 2 Pin Tact NO Breadboard Friendly","Switch_Tactile_THT_6x6mm",109.500000,-112.750000,0.000000,top
"SW3","6mm 2 Pin Tact NO Breadboard Friendly","Switch_Tactile_THT_6x6mm",67.000000,-126.500000,90.000000,top
"TP1","TP_GND","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",112.749993,-105.250005,0.000000,top
"TP2","TP_GND","TestPoint_Loop_D2.54mm_Drill1.5mm_Beaded",153.000000,-146.000000,0.000000,top
"U1","TMP36GRTZ-REEL7","SOT-23-5",146.100000,-136.929714,-90.000000,top
