timestamp,temperature_c
8250,34.39
8280,34.53
8310,34.68
8340,34.8
8370,34.93
8400,35.02
8430,35.08
8460,35.16
8490,35.22
8520,35.28
8550,35.3
8580,35.33
8610,35.33
8640,35.32
8670,35.34
8700,35.37
8730,35.37
8760,35.37
8790,35.39
8820,35.42
8850,35.45
8880,35.44
8910,35.46
8940,35.46
8970,35.48
9000,35.5
9030,35.53
9060,35.51
9090,35.51
9120,35.52
9150,35.54
9180,35.57
9210,35.54
9240,35.52
9270,35.52
9300,35.5
9330,35.49
9360,35.47
9390,35.42
9420,35.39
9450,35.34
9480,35.29
9510,35.25
9540,35.2
9570,35.18
9600,35.15
9630,35.12
9660,35.07
9690,35.02
9720,34.97
9750,34.94
9780,34.86
9810,34.84
9840,34.81
9870,34.79
9900,34.74
9930,34.7
9960,34.69
9990,34.68
10020,34.68
10050,34.68
10080,34.67
10110,34.63
10140,34.63
10170,34.62
10200,34.59
10230,34.59
10260,34.59
10290,34.56
10320,34.57
10350,34.51
10380,34.51
10410,34.49
10440,34.48
10470,34.47
10500,34.49
10530,34.48
10560,34.47
10590,34.49
10620,34.47
10650,34.45
10680,34.41
10710,34.43
10740,34.42
10770,34.4
10800,34.38
10830,34.39
10860,34.39
10890,34.42
10920,34.43
10950,34.45
10980,34.49
11010,34.49
11040,34.49
11070,34.48
11100,34.47
11130,34.45
11160,34.45
11190,34.47
11220,34.5
11250,34.53
11280,34.54
11310,34.56
11340,34.56
11370,34.58
11400,34.6
11430,34.6
11460,34.6
11490,34.63
11520,34.64
11550,34.65
11580,34.68
11610,34.71
11640,34.75
11670,34.76
11700,34.75
11730,34.77
11760,34.8
11790,34.82
11820,34.85
11850,34.9
11880,34.94
11910,34.99
11940,35.03
11970,35.05
12000,35.06
12030,35.06
12060,35.06
12090,35.09
12120,35.11
12150,35.16
12180,35.16
12210,35.15
12240,35.17
12270,35.18
12300,35.18
12330,35.18
12360,35.18
12390,35.16
12420,35.15
12450,35.17
12480,35.15
12510,35.15
12540,35.15
12570,35.12
12600,35.1
12630,35.08
12660,35.04
12690,35.02
12720,34.99
12750,34.95
12780,34.89
12810,34.83
12840,34.78
12870,34.75
12900,34.68
12930,34.63
12960,34.56
12990,34.53
13020,34.51
13050,34.5
13080,34.47
13110,34.42
13140,34.44
13170,34.43
13200,34.41
13230,34.39
13260,34.39
13290,34.39
13320,34.41
13350,34.43
13380,34.41
13410,34.39
13440,34.39
13470,34.39
13500,34.39
13530,34.38
13560,34.36
13590,34.36
13620,34.37
13650,34.36
13680,34.36
13710,34.38
13740,34.4
13770,34.42
13800,34.44
13830,34.45
13860,34.44
13890,34.47
13920,34.49
13950,34.51
13980,34.53
14010,34.57
14040,34.6
14070,34.63
14100,34.66
14130,34.68
14160,34.68
14190,34.72
14220,34.74
14250,34.75
14280,34.77
14310,34.82
14340,34.83
14370,34.86
14400,34.93
14430,34.93
14460,34.95
14490,34.99
14520,35.03
14550,35.08
14580,35.09
14610,35.11
14640,35.14
14670,35.15
14700,35.16
14730,35.19
14760,35.2
14790,35.19
14820,35.23
14850,35.24
14880,35.26
14910,35.25
14940,35.25
14970,35.25
15000,35.25
15030,35.26
15060,35.27
15090,35.24
15120,35.23
15150,35.22
15180,35.21
15210,35.18
15240,35.16
15270,35.14
15300,35.1
15330,35.06
15360,35.03
15390,34.98
15420,34.94
15450,34.85
15480,34.8
15510,34.74
15540,34.68
15570,34.62
15600,34.58
15630,34.57
15660,34.55
15690,34.52
15720,34.47
15750,34.47
15780,34.44
15810,34.44
15840,34.44
15870,34.45
15900,34.44
15930,34.44
15960,34.45
15990,34.44
16020,34.41
16050,34.41
16080,34.41
16110,34.41
16140,34.37
16170,34.37
16200,34.36
16230,34.36
16260,34.33
16290,34.34
16320,34.36
16350,34.35
