timestamp,temperature_c
28440,35.96
28470,36.2
28500,36.43
28530,36.56
28560,36.68
28590,36.78
28620,36.86
28650,36.92
28680,36.96
28710,37.0
28740,37.01
28770,37.03
28800,37.02
28830,37.03
28860,37.03
28890,37.0
28920,36.98
28950,36.98
28980,36.95
29010,36.93
29040,36.91
29070,36.88
29100,36.85
29130,36.83
29160,36.78
29190,36.74
29220,36.71
29250,36.67
29280,36.64
29310,36.59
29340,36.55
29370,36.5
29400,36.45
29430,36.4
29460,36.32
29490,36.27
29520,36.22
29550,36.16
29580,36.09
29610,36.03
29640,35.99
29670,35.91
29700,35.87
29730,35.8
29760,35.74
29790,35.68
29820,35.6
29850,35.52
29880,35.47
29910,35.41
29940,35.35
29970,35.3
30000,35.25
30030,35.18
30060,35.14
30090,35.07
30120,35.03
30150,35.0
30180,34.95
30210,34.91
30240,34.87
30270,34.82
30300,34.78
30330,34.75
30360,34.75
30390,34.72
30420,34.72
30450,34.73
30480,34.74
30510,34.74
30540,34.77
30570,34.79
30600,34.82
30630,34.86
30660,34.92
30690,34.96
30720,35.0
30750,35.05
30780,35.09
30810,35.13
30840,35.2
30870,35.24
30900,35.3
30930,35.36
30960,35.42
30990,35.47
31020,35.51
31050,35.58
31080,35.63
31110,35.67
31140,35.7
31170,35.73
31200,35.74
31230,35.75
31260,35.75
31290,35.75
31320,35.72
31350,35.72
31380,35.68
31410,35.65
31440,35.61
31470,35.56
31500,35.51
31530,35.5
31560,35.45
31590,35.41
31620,35.39
31650,35.35
31680,35.31
31710,35.27
31740,35.21
31770,35.19
31800,35.15
31830,35.11
31860,35.08
31890,35.03
31920,35.0
31950,34.98
31980,34.94
32010,34.94
32040,34.93
32070,34.89
32100,34.9
32130,34.88
32160,34.86
32190,34.87
32220,34.91
32250,34.94
32280,34.96
32310,34.99
32340,35.01
32370,35.04
32400,35.1
32430,35.14
32460,35.17
32490,35.21
32520,35.27
32550,35.31
32580,35.37
32610,35.4
32640,35.44
32670,35.47
32700,35.49
32730,35.51
32760,35.55
32790,35.58
32820,35.61
32850,35.6
32880,35.62
32910,35.61
32940,35.6
32970,35.58
33000,35.52
33030,35.5
33060,35.5
33090,35.46
33120,35.42
33150,35.41
33180,35.36
33210,35.32
33240,35.28
33270,35.23
33300,35.19
33330,35.17
33360,35.13
33390,35.1
33420,35.07
33450,35.04
33480,35.01
33510,34.98
33540,34.97
33570,34.96
33600,34.92
33630,34.9
33660,34.86
33690,34.87
33720,34.88
33750,34.87
33780,34.87
33810,34.86
33840,34.91
33870,34.95
33900,34.97
33930,35.01
33960,35.04
33990,35.08
34020,35.13
34050,35.17
34080,35.23
34110,35.27
34140,35.33
34170,35.38
34200,35.43
34230,35.47
34260,35.51
34290,35.56
34320,35.6
34350,35.66
34380,35.69
34410,35.72
34440,35.73
34470,35.75
34500,35.73
34530,35.74
34560,35.72
34590,35.7
34620,35.65
34650,35.61
34680,35.61
34710,35.57
34740,35.53
34770,35.49
34800,35.46
34830,35.44
34860,35.41
34890,35.37
34920,35.36
34950,35.3
34980,35.26
35010,35.23
35040,35.19
35070,35.15
35100,35.12
35130,35.08
35160,35.06
35190,35.03
35220,34.99
35250,34.96
35280,34.95
35310,34.93
35340,34.91
35370,34.88
35400,34.87
35430,34.86
35460,34.86
35490,34.86
35520,34.88
35550,34.92
35580,34.95
35610,34.96
35640,35.0
35670,35.05
35700,35.09
35730,35.12
35760,35.18
35790,35.22
35820,35.29
35850,35.32
35880,35.37
35910,35.41
35940,35.46
35970,35.5
36000,35.51
36030,35.53
36060,35.6
36090,35.62
36120,35.66
36150,35.68
36180,35.66
36210,35.68
36240,35.66
36270,35.65
36300,35.62
36330,35.6
36360,35.58
36390,35.52
36420,35.5
36450,35.47
36480,35.44
36510,35.4
36540,35.35
36570,35.33
36600,35.3
36630,35.27
36660,35.23
36690,35.18
36720,35.16
36750,35.12
36780,35.09
36810,35.06
36840,35.02
36870,34.99
36900,34.98
36930,34.94
36960,34.93
36990,34.89
37020,34.86
37050,34.86
37080,34.86
37110,34.88
37140,34.9
37170,34.87
37200,34.91
37230,34.94
37260,34.97
37290,35.0
37320,35.04
37350,35.06
37380,35.11
37410,35.16
37440,35.21
37470,35.26
37500,35.3
37530,35.36
37560,35.41
37590,35.46
37620,35.5
37650,35.53
37680,35.58
37710,35.62
37740,35.66
37770,35.71
37800,35.71
37830,35.71
37860,35.73
37890,35.71
37920,35.7
37950,35.66
37980,35.66
38010,35.61
38040,35.57
38070,35.52
38100,35.49
38130,35.48
38160,35.45
38190,35.4
38220,35.37
38250,35.33
38280,35.28
38310,35.25
38340,35.22
38370,35.2
38400,35.14
38430,35.1
38460,35.08
38490,35.05
38520,35.01
38550,34.99
38580,34.98
38610,34.95
38640,34.93
38670,34.91
38700,34.87
38730,34.86
38760,34.87
38790,34.86
38820,34.86
38850,34.89
38880,34.88
38910,34.94
38940,34.95
38970,34.99
39000,35.02
39030,35.06
39060,35.12
39090,35.16
39120,35.2
39150,35.24
39180,35.28
39210,35.32
39240,35.37
39270,35.43
39300,35.46
39330,35.5
39360,35.53
39390,35.59
39420,35.61
39450,35.62
39480,35.65
39510,35.67
39540,35.67
39570,35.67
39600,35.64
39630,35.63
39660,35.6
39690,35.58
39720,35.53
39750,35.5
39780,35.49
39810,35.45
39840,35.41
39870,35.39
39900,35.35
39930,35.32
39960,35.29
39990,35.25
40020,35.21
40050,35.18
40080,35.14
40110,35.11
40140,35.09
40170,35.06
40200,35.03
40230,35.01
40260,35.0
40290,34.99
40320,35.0
40350,34.97
40380,34.96
40410,34.95
40440,34.95
40470,34.94
40500,34.89
40530,34.91
40560,34.94
40590,34.93
40620,34.94
40650,34.95
40680,34.96
40710,34.99
40740,35.03
40770,35.07
40800,35.11
40830,35.14
40860,35.19
40890,35.21
40920,35.26
40950,35.31
40980,35.36
41010,35.39
41040,35.44
41070,35.5
41100,35.52
41130,35.59
41160,35.6
41190,35.63
41220,35.64
41250,35.69
41280,35.67
41310,35.68
41340,35.68
41370,35.64
41400,35.61
