timestamp,temperature_c
420,23.3
450,23.34
480,23.36
510,23.32
540,23.31
570,23.28
600,23.27
630,23.25
660,23.24
690,23.25
720,23.26
750,23.27
780,23.27
810,23.28
840,23.3
870,23.32
900,23.33
930,23.35
960,23.35
990,23.39
1020,23.41
1050,23.44
1080,23.46
1110,23.49
1140,23.48
1170,23.41
1200,23.4
1230,23.4
1260,23.39
1290,23.45
1320,23.4
1350,23.3
1380,23.19
1410,23.17
1440,23.18
1470,23.22
1500,23.22
1530,23.25
1560,23.3
1590,23.29
1620,23.31
1650,23.3
1680,23.34
1710,23.33
1740,23.29
1770,23.28
1800,23.3
1830,23.22
1860,23.21
1890,23.2
1920,23.18
1950,23.19
1980,23.23
2010,23.27
2040,23.28
2070,23.3
2100,23.31
2130,23.35
2160,23.37
2190,23.38
2220,23.4
2250,23.4
2280,23.41
2310,23.44
2340,23.45
2370,23.4
2400,23.36
2430,23.34
2460,23.33
2490,23.37
2520,23.44
2550,23.45
2580,23.41
2610,23.42
2640,23.34
2670,23.2
2700,23.23
2730,23.3
2760,23.31
2790,23.34
2820,23.36
2850,23.35
2880,23.35
2910,23.36
2940,23.35
2970,23.36
3000,23.38
3030,23.38
3060,23.39
3090,23.28
3120,23.24
3150,23.28
3180,23.27
3210,23.27
3240,23.31
3270,23.37
3300,23.41
3330,23.46
3360,23.47
3390,23.47
3420,23.47
3450,23.49
3480,23.49
3510,23.48
3540,23.51
3570,23.53
3600,23.48
3630,23.39
3660,23.25
3690,23.31
3720,23.3
3750,23.23
3780,23.21
3810,23.21
3840,23.22
3870,23.27
3900,23.23
3930,23.16
3960,23.08
3990,23.03
4020,23.08
4050,23.16
4080,23.2
4110,23.13
4140,23.1
4170,23.09
4200,23.02
4230,22.98
4260,22.96
4290,22.95
4320,22.96
4350,22.96
4380,22.96
4410,22.91
4440,22.91
4470,22.95
4500,23.02
4530,23.04
4560,23.05
4590,23.07
4620,23.07
4650,23.11
4680,23.11
4710,23.12
4740,23.14
4770,23.13
4800,23.15
4830,23.18
4860,23.09
4890,23.02
4920,22.93
4950,22.81
4980,22.88
5010,22.97
5040,23.04
5070,23.11
5100,23.09
5130,23.07
5160,23.06
5190,23.08
5220,23.08
5250,23.07
5280,23.05
5310,23.01
5340,23.01
5370,22.99
5400,22.97
5430,22.97
5460,22.96
5490,22.98
5520,22.98
5550,23.0
5580,22.97
5610,22.89
5640,22.87
5670,22.77
5700,22.77
5730,22.78
5760,22.83
5790,22.83
5820,22.84
5850,22.85
5880,22.87
5910,22.9
5940,22.94
5970,22.96
6000,23.0
6030,23.02
6060,23.03
6090,23.05
6120,23.09
6150,23.12
6180,23.13
6210,23.16
6240,23.11
6270,23.13
6300,23.07
6330,23.11
6360,23.16
6390,23.16
6420,23.05
6450,23.02
6480,23.04
6510,22.93
6540,22.93
6570,23.0
6600,23.31
6630,23.24
6660,23.52
6690,25.62
6720,26.01
6750,25.82
6780,25.65
