timestamp,temperature_c
71100,22.69
71130,22.88
71160,23.11
71190,23.35
71220,23.61
71250,23.92
71280,24.22
71310,24.54
71340,24.86
71370,25.13
71400,25.43
71430,25.73
71460,26.02
71490,26.3
71520,26.57
71550,26.85
71580,27.07
71610,27.32
71640,27.57
71670,27.78
71700,28.0
71730,28.25
71760,28.44
71790,28.63
71820,28.82
71850,29.06
71880,29.23
71910,29.41
71940,29.56
71970,29.75
72000,29.9
72030,30.06
72060,30.2
72090,30.34
72120,30.52
72150,30.67
72180,30.79
72210,30.92
72240,31.06
72270,31.21
72300,31.34
72330,31.46
72360,31.58
72390,31.68
72420,31.82
72450,31.97
72480,32.07
72510,32.17
72540,32.26
72570,32.36
72600,32.48
72630,32.58
72660,32.7
72690,32.8
72720,32.89
72750,32.98
72780,33.08
72810,33.18
72840,33.24
72870,33.36
72900,33.48
72930,33.55
72960,33.65
72990,33.74
73020,33.81
73050,33.9
73080,33.97
73110,34.06
73140,34.17
73170,34.24
73200,34.31
73230,34.37
73260,34.45
73290,34.52
73320,34.59
73350,34.66
73380,34.73
73410,34.8
73440,34.88
73470,34.98
73500,35.03
73530,35.1
73560,35.16
73590,35.24
73620,35.3
73650,35.37
73680,35.41
73710,35.48
73740,35.52
73770,35.63
73800,35.7
73830,35.76
73860,35.81
73890,35.88
73920,35.94
73950,35.98
73980,36.05
74010,36.09
74040,36.16
74070,36.22
74100,36.27
74130,36.32
74160,36.4
74190,36.46
74220,36.51
74250,36.56
74280,36.62
74310,36.67
74340,36.7
74370,36.75
74400,36.8
74430,36.85
74460,36.89
74490,36.96
74520,37.01
74550,37.04
74580,37.11
74610,37.17
74640,37.21
74670,37.24
74700,37.29
74730,37.31
74760,37.35
74790,37.38
74820,37.41
74850,37.44
74880,37.45
74910,37.44
74940,37.42
74970,37.36
75000,37.31
75030,37.28
75060,37.21
75090,37.17
75120,37.07
75150,37.0
75180,36.91
75210,36.81
75240,36.71
75270,36.63
75300,36.54
75330,36.46
75360,36.34
75390,36.21
75420,36.07
75450,35.97
75480,35.89
75510,35.78
75540,35.63
75570,35.48
75600,35.36
75630,35.27
75660,35.17
75690,35.06
75720,34.95
75750,34.83
75780,34.72
75810,34.67
75840,34.64
75870,34.6
75900,34.57
75930,34.48
75960,34.44
75990,34.44
76020,34.46
76050,34.47
76080,34.44
76110,34.46
76140,34.49
76170,34.5
76200,34.53
76230,34.58
76260,34.61
76290,34.66
76320,34.71
76350,34.73
76380,34.72
76410,34.75
76440,34.8
