timestamp,temperature_c
94980,29.95
95010,30.18
95040,30.49
95070,30.74
95100,31.04
95130,31.38
95160,31.68
95190,32.02
95220,32.3
95250,32.61
95280,32.91
95310,33.21
95340,33.52
95370,33.78
95400,34.03
95430,34.31
95460,34.53
95490,34.74
95520,34.96
95550,35.12
95580,35.21
95610,35.28
95640,35.32
95670,35.41
95700,35.4
95730,35.32
95760,35.28
95790,35.19
95820,35.09
95850,34.99
95880,34.91
95910,34.8
95940,34.67
95970,34.56
96000,34.47
96030,34.38
96060,34.27
96090,34.13
96120,33.99
96150,33.87
96180,33.78
96210,33.68
96240,33.63
96270,33.55
96300,33.45
96330,33.36
96360,33.29
96390,33.22
96420,33.22
96450,33.23
96480,33.18
96510,33.15
96540,33.17
96570,33.2
96600,33.21
96630,33.26
96660,33.33
96690,33.36
96720,33.4
96750,33.42
96780,33.47
96810,33.47
96840,33.42
96870,33.42
96900,33.52
96930,33.56
96960,33.58
96990,33.61
97020,33.65
97050,33.7
97080,33.74
97110,33.73
97140,33.71
97170,33.71
97200,33.74
97230,33.74
97260,33.72
97290,33.66
97320,33.62
97350,33.58
97380,33.55
97410,33.59
97440,33.63
97470,33.65
97500,33.62
97530,33.58
97560,33.55
97590,33.56
97620,33.56
97650,33.63
97680,33.66
97710,33.67
97740,33.64
97770,33.56
97800,33.51
97830,33.44
97860,33.45
97890,33.45
97920,33.42
97950,33.39
97980,33.46
98010,33.48
98040,33.53
98070,33.54
98100,33.53
98130,33.51
98160,33.5
98190,33.48
98220,33.53
98250,33.57
98280,33.56
98310,33.54
98340,33.5
98370,33.5
98400,33.56
98430,33.62
98460,33.62
98490,33.61
98520,33.59
98550,33.57
98580,33.56
98610,33.55
98640,33.52
98670,33.51
98700,33.5
98730,33.49
98760,33.47
98790,33.47
98820,33.53
98850,33.59
98880,33.61
98910,33.59
98940,33.59
98970,33.61
99000,33.6
99030,33.6
99060,33.61
99090,33.6
99120,33.6
99150,33.61
99180,33.6
99210,33.6
99240,33.56
99270,33.59
99300,33.62
99330,33.6
99360,33.54
99390,33.59
99420,33.62
99450,33.61
99480,33.64
99510,33.64
99540,33.59
99570,33.54
99600,33.49
99630,33.49
99660,33.5
99690,33.49
99720,33.45
99750,33.42
99780,33.48
99810,33.48
99840,33.47
99870,33.41
99900,33.39
99930,33.36
99960,33.44
99990,33.5
100020,33.53
100050,33.54
100080,33.56
100110,33.55
100140,33.5
