timestamp,temperature_c
113070,34.61
113100,34.84
113130,35.09
113160,35.31
113190,35.51
113220,35.76
113250,35.89
113280,36.0
113310,36.13
113340,36.24
113370,36.33
113400,36.44
113430,36.48
113460,36.54
113490,36.56
113520,36.58
113550,36.6
113580,36.61
113610,36.6
113640,36.59
113670,36.57
113700,36.54
113730,36.56
113760,36.53
113790,36.49
113820,36.42
113850,36.41
113880,36.42
113910,36.39
113940,36.33
113970,36.27
114000,36.24
114030,36.24
114060,36.21
114090,36.22
114120,36.21
114150,36.21
114180,36.21
114210,36.19
114240,36.22
114270,36.26
114300,36.26
114330,36.29
114360,36.31
114390,36.34
114420,36.35
114450,36.41
114480,36.47
114510,36.5
114540,36.52
114570,36.53
114600,36.56
114630,36.58
114660,36.63
114690,36.62
114720,36.62
114750,36.65
114780,36.66
114810,36.64
114840,36.64
114870,36.62
114900,36.63
114930,36.62
114960,36.65
114990,36.65
115020,36.65
115050,36.65
115080,36.62
115110,36.62
115140,36.61
115170,36.57
115200,36.55
115230,36.54
115260,36.54
115290,36.56
115320,36.56
115350,36.55
115380,36.54
115410,36.51
115440,36.51
115470,36.5
115500,36.49
115530,36.47
115560,36.45
115590,36.46
115620,36.49
115650,36.5
115680,36.5
115710,36.49
115740,36.52
115770,36.56
115800,36.54
115830,36.53
115860,36.53
115890,36.53
115920,36.53
115950,36.54
115980,36.56
116010,36.56
116040,36.53
116070,36.19
116100,35.96
116130,35.85
116160,35.77
116190,35.74
116220,35.72
116250,35.71
116280,35.69
116310,35.68
116340,35.68
116370,35.71
116400,35.71
116430,35.68
116460,35.71
116490,35.72
116520,35.73
116550,35.73
116580,35.74
116610,35.73
116640,35.74
116670,35.76
116700,35.75
116730,35.75
116760,35.77
116790,35.76
116820,35.77
116850,35.81
116880,35.8
116910,35.82
116940,35.8
116970,35.81
117000,35.84
117030,35.86
117060,35.85
117090,35.83
117120,35.85
117150,35.86
117180,35.88
117210,35.88
117240,35.89
117270,35.9
117300,35.88
117330,35.88
117360,35.89
117390,35.9
117420,35.94
117450,35.96
117480,35.96
117510,35.97
117540,35.97
117570,35.97
117600,35.99
117630,36.03
117660,36.04
117690,36.03
117720,36.03
117750,36.04
117780,36.04
117810,36.06
117840,36.06
117870,36.08
117900,36.11
117930,36.14
117960,36.15
117990,36.14
118020,36.15
118050,36.15
118080,36.17
118110,36.17
118140,36.19
118170,36.19
118200,36.2
118230,36.2
118260,36.22
118290,36.23
118320,36.23
118350,36.24
118380,36.25
118410,36.25
118440,36.24
118470,36.25
118500,36.25
118530,36.25
118560,36.23
118590,36.24
118620,36.25
118650,36.26
118680,36.27
118710,36.28
118740,36.29
118770,36.3
118800,36.29
118830,36.27
118860,36.26
118890,36.26
118920,36.27
118950,36.27
118980,36.28
119010,36.28
119040,36.28
119070,36.29
119100,36.29
119130,36.29
119160,36.3
119190,36.29
119220,36.29
119250,36.31
119280,36.35
119310,36.34
119340,36.34
119370,36.33
119400,36.33
119430,36.33
119460,36.33
119490,36.32
119520,36.34
119550,36.35
119580,36.36
119610,36.36
119640,36.35
119670,36.37
119700,36.35
119730,36.35
119760,36.35
119790,36.35
119820,36.4
119850,36.44
119880,36.46
119910,36.43
119940,36.45
119970,36.44
120000,36.44
120030,36.44
120060,36.47
120090,36.47
120120,36.47
120150,36.44
120180,36.4
120210,36.43
120240,36.43
120270,36.42
120300,36.44
120330,36.44
120360,36.46
120390,36.45
120420,36.46
120450,36.44
120480,36.44
120510,36.44
120540,36.43
120570,36.42
120600,36.43
120630,36.41
120660,36.4
120690,36.39
120720,36.41
120750,36.44
120780,36.45
120810,36.45
120840,36.46
120870,36.44
120900,36.43
120930,36.43
120960,36.44
120990,36.43
121020,36.46
121050,36.48
121080,36.52
121110,36.52
121140,36.49
121170,36.47
121200,36.46
121230,36.47
121260,36.48
121290,36.49
121320,36.49
121350,36.5
121380,36.5
121410,36.5
121440,36.5
121470,36.51
121500,36.51
121530,36.5
121560,36.5
121590,36.49
121620,36.5
121650,36.5
121680,36.51
121710,36.49
121740,36.46
121770,36.45
121800,36.46
121830,36.46
121860,36.46
121890,36.47
121920,36.45
121950,36.45
121980,36.44
122010,36.45
122040,36.47
122070,36.51
122100,36.49
122130,36.5
122160,36.48
122190,36.47
122220,36.47
122250,36.46
122280,36.45
122310,36.47
122340,36.5
122370,36.5
122400,36.49
122430,36.49
122460,36.49
122490,36.48
122520,36.5
122550,36.51
122580,36.5
122610,36.51
122640,36.52
122670,36.51
122700,36.53
122730,36.53
122760,36.52
122790,36.52
122820,36.54
122850,36.53
122880,36.53
122910,36.55
122940,36.53
122970,36.53
123000,36.53
123030,36.53
123060,36.54
123090,36.52
123120,36.52
123150,36.51
123180,36.53
123210,36.56
123240,36.54
123270,36.54
123300,36.53
123330,36.53
123360,36.52
123390,36.48
123420,36.47
123450,36.46
123480,36.47
123510,36.48
123540,36.47
123570,36.47
123600,36.49
123630,36.5
123660,36.5
123690,36.5
123720,36.46
123750,36.47
123780,36.48
123810,36.51
123840,36.5
123870,36.5
123900,36.48
123930,36.47
123960,36.47
123990,36.5
124020,36.5
124050,36.51
124080,36.53
124110,36.52
124140,36.51
124170,36.51
124200,36.52
124230,36.5
124260,36.53
124290,36.51
124320,36.51
124350,36.51
124380,36.53
124410,36.51
124440,36.52
124470,36.52
124500,36.52
124530,36.53
124560,36.53
124590,36.53
124620,36.53
124650,36.53
124680,36.53
124710,36.53
124740,36.53
124770,36.53
124800,36.56
124830,36.53
124860,36.54
124890,36.55
124920,36.54
124950,36.56
124980,36.55
125010,36.55
125040,36.54
125070,36.54
125100,36.56
125130,36.56
125160,36.56
125190,36.56
125220,36.58
125250,36.53
125280,36.54
125310,36.54
125340,36.55
125370,36.56
125400,36.56
125430,36.58
125460,36.54
125490,36.53
125520,36.52
125550,36.53
125580,36.52
125610,36.52
125640,36.53
125670,36.53
125700,36.53
125730,36.52
125760,36.52
125790,36.51
125820,36.51
125850,36.51
125880,36.5
125910,36.52
125940,36.52
125970,36.5
126000,36.5
126030,36.5
126060,36.5
126090,36.5
126120,36.5
126150,36.54
126180,36.54
126210,36.53
126240,36.53
126270,36.52
126300,36.51
126330,36.52
126360,36.51
126390,36.53
126420,36.52
126450,36.53
126480,36.52
126510,36.52
126540,36.53
126570,36.52
126600,36.53
126630,36.53
126660,36.53
126690,36.53
126720,36.53
126750,36.53
126780,36.54
126810,36.53
126840,36.54
126870,36.55
126900,36.55
126930,36.54
126960,36.55
126990,36.55
127020,36.55
127050,36.55
127080,36.57
127110,36.56
127140,36.56
127170,36.56
127200,36.57
127230,36.58
127260,36.56
127290,36.58
127320,36.56
127350,36.57
127380,36.56
127410,36.57
127440,36.58
127470,36.55
127500,36.56
127530,36.56
127560,36.56
127590,36.58
127620,36.56
127650,36.57
127680,36.56
127710,36.56
127740,36.55
127770,36.57
127800,36.57
127830,36.56
127860,36.56
127890,36.55
127920,36.53
127950,36.53
127980,36.54
128010,36.55
128040,36.55
128070,36.53
128100,36.54
128130,36.52
128160,36.5
128190,36.5
128220,36.48
