timestamp,temperature_c
156000,26.56
156030,26.6
156060,26.7
156090,26.76
156120,26.84
156150,26.92
156180,27.01
156210,27.13
156240,27.23
156270,27.35
156300,27.48
156330,27.61
156360,27.74
156390,27.86
156420,28.0
156450,28.16
156480,28.31
156510,28.45
156540,28.6
156570,28.76
156600,28.92
156630,29.1
156660,29.23
156690,29.38
156720,29.55
156750,29.73
156780,29.85
156810,30.02
156840,30.17
156870,30.32
156900,30.52
156930,30.67
156960,30.82
156990,30.94
157020,31.12
157050,31.3
157080,31.44
157110,31.6
157140,31.74
157170,31.89
157200,32.06
157230,32.2
157260,32.33
157290,32.49
157320,32.64
157350,32.81
157380,32.95
157410,33.1
157440,33.24
157470,33.4
157500,33.57
157530,33.7
157560,33.81
157590,33.94
157620,34.05
157650,34.19
157680,34.28
157710,34.36
157740,34.42
157770,34.5
157800,34.55
157830,34.62
157860,34.68
157890,34.73
157920,34.78
157950,34.83
157980,34.89
158010,34.95
158040,34.99
158070,35.01
158100,35.04
158130,35.08
158160,35.09
158190,35.11
158220,35.12
158250,35.11
158280,35.12
158310,35.13
158340,35.12
158370,35.14
158400,35.14
158430,35.14
158460,35.15
158490,35.16
158520,35.16
158550,35.16
158580,35.17
158610,35.2
158640,35.2
158670,35.22
158700,35.24
158730,35.25
158760,35.27
158790,35.3
158820,35.33
158850,35.34
158880,35.37
158910,35.41
158940,35.41
158970,35.44
159000,35.46
159030,35.48
159060,35.5
159090,35.5
159120,35.52
159150,35.55
159180,35.57
159210,35.57
159240,35.58
159270,35.6
159300,35.62
159330,35.62
159360,35.63
159390,35.63
159420,35.64
159450,35.65
159480,35.67
159510,35.67
159540,35.64
159570,35.62
159600,35.63
159630,35.65
159660,35.64
159690,35.68
159720,35.65
159750,35.67
159780,35.67
159810,35.67
159840,35.69
159870,35.7
159900,35.68
159930,35.69
159960,35.71
159990,35.71
160020,35.71
160050,35.7
160080,35.71
160110,35.71
160140,35.73
160170,35.73
160200,35.75
160230,35.74
160260,35.73
160290,35.74
160320,35.74
160350,35.74
160380,35.74
160410,35.74
160440,35.74
160470,35.75
160500,35.74
160530,35.74
160560,35.73
160590,35.73
160620,35.75
160650,35.75
160680,35.75
160710,35.77
160740,35.78
160770,35.8
160800,35.8
160830,35.81
160860,35.8
160890,35.81
160920,35.81
160950,35.82
160980,35.83
161010,35.82
161040,35.82
161070,35.81
161100,35.8
161130,35.79
161160,35.8
161190,35.8
161220,35.78
161250,35.77
161280,35.77
161310,35.77
161340,35.76
161370,35.76
161400,35.76
161430,35.76
161460,35.77
161490,35.78
161520,35.79
161550,35.77
161580,35.79
161610,35.8
161640,35.8
161670,35.8
161700,35.8
161730,35.82
161760,35.81
161790,35.8
161820,35.81
161850,35.81
161880,35.81
161910,35.8
161940,35.8
161970,35.81
162000,35.81
162030,35.8
162060,35.82
162090,35.8
162120,35.81
162150,35.81
162180,35.8
162210,35.81
162240,35.8
162270,35.81
162300,35.82
162330,35.82
162360,35.8
162390,35.82
162420,35.8
162450,35.81
162480,35.82
162510,35.81
162540,35.81
162570,35.81
162600,35.82
162630,35.81
162660,35.81
162690,35.81
162720,35.82
162750,35.81
162780,35.82
162810,35.81
162840,35.81
162870,35.81
162900,35.8
162930,35.81
162960,35.81
162990,35.8
163020,35.8
163050,35.8
163080,35.81
163110,35.8
163140,35.81
163170,35.8
