timestamp,temperature_c
150000,25.69
180000,25.69
210000,25.81
240000,25.87
270000,25.94
300000,26.12
330000,26.25
360000,26.44
390000,26.56
420000,26.75
450000,26.94
480000,27.12
510000,27.31
540000,27.5
570000,27.69
600000,27.94
630000,28.12
660000,28.31
690000,28.5
720000,28.75
750000,28.94
780000,29.12
810000,29.37
840000,29.56
870000,29.81
900000,30.0
930000,30.19
960000,30.37
990000,30.56
1020000,30.75
1050000,30.94
1080000,31.12
1110000,31.31
1140000,31.5
1170000,31.69
1200000,31.87
1230000,32.06
1260000,32.19
1290000,32.38
1320000,32.5
1350000,32.69
1380000,32.88
1410000,33.0
1440000,33.19
1470000,33.38
1500000,33.5
1530000,33.63
1560000,33.81
1590000,33.94
1620000,34.06
1650000,34.25
1680000,34.38
1710000,34.44
1740000,34.56
1770000,34.69
1800000,34.81
1830000,34.88
1860000,34.94
1890000,35.0
1920000,35.06
1950000,35.13
1980000,35.13
2010000,35.19
2040000,35.19
2070000,35.19
2100000,35.25
2130000,35.25
2160000,35.25
2190000,35.25
2220000,35.25
2250000,35.25
2280000,35.25
2310000,35.25
2340000,35.25
2370000,35.19
2400000,35.19
2430000,35.19
2460000,35.13
2490000,35.06
2520000,35.06
2550000,35.06
2580000,35.0
2610000,35.0
2640000,35.0
2670000,34.94
2700000,34.94
2730000,34.94
2760000,34.88
2790000,34.88
2820000,34.88
2850000,34.88
2880000,34.88
2910000,34.88
2940000,34.88
2970000,34.88
3000000,34.88
3030000,34.94
3060000,34.94
3090000,34.94
3120000,34.94
3150000,35.0
3180000,35.0
3210000,35.0
3240000,35.0
3270000,35.0
3300000,35.06
3330000,35.06
3360000,35.06
3390000,35.06
3420000,35.06
3450000,35.06
3480000,35.06
3510000,35.06
3540000,35.06
3570000,35.06
3600000,35.06
3630000,35.06
3660000,35.06
3690000,35.0
3720000,35.0
3750000,35.0
3780000,35.0
3810000,35.0
3840000,35.0
3870000,35.0
3900000,34.94
3930000,35.0
3960000,35.0
3990000,35.0
4020000,34.94
4050000,35.0
4080000,35.0
4110000,35.0
4140000,35.0
4170000,35.0
4200000,35.0
4230000,34.94
4260000,35.0
4290000,35.0
4320000,35.0
4350000,35.0
4380000,35.0
4410000,35.0
4440000,35.0
4470000,35.0
4500000,35.0
4530000,35.0
4560000,35.0
4590000,35.0
4620000,35.0
4650000,35.0
4680000,35.0
4710000,35.0
4740000,35.0
4770000,34.94
4800000,34.94
4830000,34.94
4860000,34.94
4890000,35.0
4920000,35.0
4950000,35.0
4980000,35.06
5010000,35.0
5040000,35.0
5070000,35.06
5100000,35.06
5130000,35.06
5160000,35.06
5190000,35.06
5220000,35.06
5250000,35.06
5280000,35.06
5310000,35.0
5340000,35.0
5370000,35.0
5400000,35.0
5430000,35.0
5460000,35.0
5490000,34.94
5520000,34.94
5550000,34.94
5580000,34.94
5610000,35.0
5640000,34.94
5670000,34.94
5700000,35.0
5730000,35.0
5760000,35.0
5790000,35.0
5820000,35.0
5850000,35.0
5880000,35.0
5910000,35.0
5940000,35.0
5970000,35.0
6000000,35.0
6030000,35.0
6060000,35.0
6090000,35.0
6120000,35.0
6150000,35.0
6180000,35.0
6210000,35.0
6240000,35.0
6270000,35.0
6300000,35.0
6330000,35.0
6360000,35.0
6390000,35.0
6420000,35.0
6450000,35.0
6480000,35.0
6510000,35.0
6540000,35.0
6570000,35.0
6600000,35.0
6630000,35.0
6660000,35.0
6690000,35.0
6720000,35.0
6750000,35.0
6780000,35.0
6810000,35.0
6840000,35.0
6870000,35.0
6900000,35.0
6930000,35.0
6960000,35.0
6990000,35.0
7020000,35.0
7050000,35.0
7080000,35.0
7110000,35.0
7140000,35.0
7170000,35.0
7200000,35.0
7230000,35.0
7260000,35.0
7290000,35.0
7320000,35.0
