timestamp,temperature_c
42660,34.75
42690,34.78
42720,34.83
42750,34.85
42780,34.86
42810,34.94
42840,34.96
42870,34.98
42900,34.98
42930,34.98
42960,35.0
42990,35.03
43020,35.04
43050,35.06
43080,35.07
43110,35.05
43140,35.04
43170,35.06
43200,35.09
43230,35.07
43260,35.04
43290,35.0
43320,34.99
43350,34.98
43380,35.0
43410,35.01
43440,35.0
43470,34.97
43500,34.94
43530,34.88
43560,34.86
43590,34.83
43620,34.82
43650,34.82
43680,34.81
43710,34.8
43740,34.78
43770,34.77
43800,34.77
43830,34.78
43860,34.79
43890,34.79
43920,34.78
43950,34.77
43980,34.79
44010,34.8
44040,34.8
44070,34.81
44100,34.82
44130,34.86
44160,34.86
44190,34.87
44220,34.88
44250,34.91
44280,34.94
44310,34.93
44340,34.93
44370,34.93
44400,34.93
44430,34.93
44460,34.93
44490,34.94
44520,34.97
44550,34.97
44580,34.99
44610,34.99
44640,34.95
44670,34.93
44700,34.94
44730,34.97
44760,34.97
44790,34.96
44820,34.96
44850,34.96
44880,34.97
44910,34.96
44940,34.92
44970,34.92
45000,34.93
45030,34.95
45060,34.95
45090,34.95
45120,34.93
45150,34.92
45180,34.92
45210,34.9
45240,34.9
45270,34.88
45300,34.88
45330,34.86
45360,34.84
45390,34.82
45420,34.82
45450,34.86
45480,34.9
45510,34.92
45540,34.88
45570,34.84
45600,34.81
45630,34.83
45660,34.88
45690,34.9
45720,34.87
45750,34.86
45780,34.92
45810,34.93
45840,34.93
45870,34.9
45900,34.91
45930,34.9
45960,34.91
45990,34.93
46020,34.93
46050,34.93
46080,34.94
46110,34.93
46140,34.96
46170,34.97
46200,34.96
46230,34.97
46260,34.99
46290,34.94
46320,34.91
46350,34.94
46380,34.95
46410,34.97
46440,34.97
46470,34.97
46500,34.94
46530,34.87
46560,34.86
46590,34.88
46620,34.89
46650,34.91
46680,34.89
46710,34.88
46740,34.88
46770,34.88
46800,34.87
46830,34.85
46860,34.84
46890,34.84
46920,34.89
46950,34.92
46980,34.88
47010,34.86
47040,34.87
47070,34.9
47100,34.88
47130,34.87
47160,34.84
47190,34.87
47220,34.93
47250,34.96
47280,34.93
47310,34.92
47340,34.91
47370,34.91
47400,34.91
47430,34.92
47460,34.91
47490,34.92
47520,34.93
47550,34.95
47580,34.94
47610,34.94
47640,34.95
47670,34.96
47700,34.96
47730,34.94
47760,34.95
47790,34.95
47820,34.96
47850,34.93
47880,34.93
47910,34.91
47940,34.94
47970,34.93
48000,34.9
48030,34.86
48060,34.88
48090,34.89
48120,34.89
48150,34.87
48180,34.86
48210,34.85
48240,34.85
48270,34.84
48300,34.82
48330,34.83
48360,34.88
48390,34.91
48420,34.88
48450,34.85
48480,34.83
48510,34.82
48540,34.86
48570,34.88
48600,34.85
48630,34.83
48660,34.85
48690,34.86
48720,34.86
48750,34.85
48780,34.86
48810,34.9
48840,34.86
48870,34.85
48900,34.84
48930,34.85
48960,34.88
48990,34.88
49020,34.85
49050,34.9
49080,34.87
49110,34.89
49140,34.91
49170,34.92
49200,34.91
49230,34.93
49260,34.93
49290,34.94
49320,34.95
49350,34.96
49380,34.92
49410,34.94
49440,34.95
49470,34.93
49500,34.96
49530,34.96
49560,34.93
49590,34.91
49620,34.91
49650,34.89
49680,34.92
49710,34.93
49740,34.91
49770,34.9
49800,34.88
49830,34.89
49860,34.91
49890,34.9
49920,34.87
49950,34.88
49980,34.86
50010,34.84
50040,34.84
50070,34.8
50100,34.81
50130,34.81
50160,34.84
50190,34.83
50220,34.83
50250,34.8
50280,34.81
50310,34.83
50340,34.88
50370,34.88
50400,34.85
50430,34.83
50460,34.83
50490,34.87
50520,34.91
50550,34.86
50580,34.84
50610,34.85
50640,34.84
50670,34.85
50700,34.91
50730,34.89
50760,34.9
50790,34.9
50820,34.89
50850,34.93
50880,34.96
50910,34.96
50940,34.94
50970,34.96
51000,34.94
51030,34.91
51060,34.89
51090,34.91
51120,34.93
51150,34.94
51180,34.94
51210,34.96
51240,34.93
51270,34.97
51300,34.95
51330,34.97
51360,34.97
51390,34.93
51420,34.88
51450,34.86
51480,34.89
51510,34.92
51540,34.92
51570,34.93
51600,34.91
51630,34.87
51660,34.88
51690,34.86
51720,34.87
51750,34.85
51780,34.87
51810,34.86
51840,34.86
51870,34.83
51900,34.87
51930,34.89
51960,34.91
51990,34.9
52020,34.86
52050,34.83
52080,34.84
52110,34.88
52140,34.88
52170,34.86
52200,34.89
52230,34.87
52260,34.87
52290,34.85
52320,34.86
52350,34.91
52380,34.94
52410,34.91
52440,34.93
52470,34.92
52500,34.91
52530,34.92
52560,34.9
52590,34.94
52620,34.96
52650,34.94
52680,34.95
52710,34.97
52740,34.97
52770,34.97
52800,34.99
52830,34.98
52860,34.95
52890,34.92
52920,34.9
52950,34.94
52980,34.96
53010,34.95
53040,34.93
53070,34.88
53100,34.92
53130,34.91
53160,34.91
53190,34.93
53220,34.93
53250,34.88
53280,34.87
53310,34.89
53340,34.88
53370,34.86
53400,34.87
53430,34.84
53460,34.86
53490,34.84
53520,34.83
53550,34.85
53580,34.86
53610,34.9
53640,34.86
53670,34.86
53700,34.91
53730,34.91
53760,34.88
53790,34.87
53820,34.85
53850,34.87
53880,34.93
53910,34.95
53940,34.93
53970,34.9
54000,34.91
54030,34.93
54060,34.91
54090,34.92
54120,34.94
54150,34.94
54180,34.95
54210,34.97
54240,34.97
54270,34.99
54300,34.96
54330,34.94
54360,34.94
54390,34.94
54420,34.97
54450,34.94
54480,34.93
54510,34.92
54540,34.94
54570,34.95
54600,34.92
54630,34.86
54660,34.93
54690,34.91
54720,34.92
54750,34.88
54780,34.9
54810,34.88
54840,34.9
54870,34.87
54900,34.86
54930,34.85
54960,34.84
54990,34.82
55020,34.82
55050,34.8
55080,34.81
55110,34.81
55140,34.85
55170,34.88
55200,34.83
55230,34.83
55260,34.81
55290,34.83
55320,34.84
55350,34.82
55380,34.83
55410,34.88
55440,34.91
55470,34.86
55500,34.88
55530,34.86
55560,34.86
55590,34.89
55620,34.89
55650,34.89
55680,34.91
55710,34.92
55740,34.92
55770,34.92
55800,34.94
55830,34.94
55860,34.95
55890,34.97
55920,34.97
55950,34.97
55980,34.97
56010,34.98
56040,34.94
56070,34.89
56100,34.87
56130,34.92
56160,34.94
56190,34.92
56220,34.89
56250,34.88
56280,34.88
56310,34.9
56340,34.9
56370,34.88
56400,34.9
56430,34.89
56460,34.91
56490,34.88
56520,34.86
56550,34.86
56580,34.85
56610,34.83
56640,34.82
56670,34.81
56700,34.8
56730,34.79
56760,34.8
56790,34.85
56820,34.85
56850,34.83
56880,34.82
56910,34.82
56940,34.85
56970,34.85
57000,34.84
57030,34.85
57060,34.83
57090,34.87
57120,34.86
57150,34.87
57180,34.87
57210,34.84
57240,34.86
57270,34.84
57300,34.86
57330,34.87
57360,34.88
57390,34.87
57420,34.88
57450,34.92
57480,34.91
57510,34.93
57540,34.91
57570,34.93
57600,34.94
57630,34.94
57660,34.95
57690,34.95
57720,34.96
57750,34.95
57780,34.97
57810,34.95
57840,34.93
57870,34.9
57900,34.93
57930,34.94
57960,34.93
57990,34.9
58020,34.93
58050,34.94
58080,34.95
58110,34.94
58140,34.88
58170,34.87
58200,34.89
58230,34.88
58260,34.89
58290,34.86
58320,34.87
58350,34.87
58380,34.83
58410,34.86
58440,34.82
58470,34.83
58500,34.83
58530,34.85
58560,34.83
58590,34.83
58620,34.83
58650,34.84
58680,34.83
58710,34.84
58740,34.89
58770,34.91
58800,34.9
58830,34.88
58860,34.84
58890,34.86
58920,34.87
58950,34.88
58980,34.88
59010,34.88
59040,34.88
59070,34.88
59100,34.88
59130,34.86
59160,34.87
59190,34.89
59220,34.88
59250,34.91
59280,34.93
59310,34.94
59340,34.94
59370,34.94
59400,34.94
59430,34.95
59460,34.93
59490,34.94
59520,34.93
59550,34.92
59580,34.94
59610,34.94
59640,34.91
59670,34.88
59700,34.93
59730,34.92
59760,34.93
59790,34.91
59820,34.93
59850,34.93
59880,34.92
59910,34.88
59940,34.92
59970,34.93
60000,34.95
60030,34.92
60060,34.94
60090,34.86
60120,34.83
60150,34.85
60180,34.84
60210,34.83
60240,34.8
60270,34.8
60300,34.8
60330,34.83
60360,34.85
60390,34.88
60420,34.9
60450,34.85
60480,34.85
60510,34.81
60540,34.8
60570,34.82
60600,34.86
60630,34.89
60660,34.85
60690,34.85
60720,34.83
60750,34.85
60780,34.91
60810,34.94
60840,34.92
60870,34.88
60900,34.94
60930,34.94
60960,34.94
60990,34.94
61020,34.94
61050,34.93
61080,34.94
61110,34.94
61140,34.95
61170,34.91
61200,34.95
61230,34.95
61260,34.97
61290,34.94
61320,34.92
61350,34.95
61380,34.95
61410,34.94
61440,34.92
61470,34.94
61500,34.94
61530,34.94
61560,34.92
61590,34.9
61620,34.89
61650,34.9
61680,34.89
61710,34.88
61740,34.88
61770,34.85
61800,34.84
61830,34.84
61860,34.81
61890,34.84
